,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,SEASON
0,1,Jett Alexander,23,TOR,1,0,0,0,0,0,0,0,,0.00,0,0.0,1,0,,0,,,0,0,0,0,2023
1,2,Jake Allen,32,MTL,42,41,15,24,3,145,1335,1190,.891,3.55,1,5.8,2450,20,.488,10,113,-17.17,0,1,1,2,2023
2,3,Frederik Andersen,33,CAR,34,33,21,11,1,82,849,767,.903,2.48,1,4.7,1984,17,.515,6,101,-0.71,0,1,1,0,2023
3,4,Craig Anderson,41,BUF,26,24,11,11,2,76,823,747,.908,3.06,1,4.9,1490,12,.500,5,96,2.80,0,1,1,2,2023
4,5,Justus Annunen,22,COL,2,2,1,1,0,7,48,41,.854,3.58,0,0.0,117,1,.500,1,,,0,0,0,0,2023
5,6,Yaroslav Askarov,20,NSH,1,1,0,1,0,4,35,31,.886,4.15,0,0.1,58,0,.000,0,,,0,0,0,0,2023
6,7,Matthew Berlin,25,EDM,1,0,0,0,0,0,1,1,1.000,0.00,0,0.0,2,0,,0,,,0,0,0,0,2023
7,8,Jordan Binnington,29,STL,61,60,27,27,6,194,1826,1632,.894,3.31,2,8.4,3516,27,.450,13,111,-19.16,0,2,2,29,2023
8,9,Mackenzie Blackwood,26,NJD,22,20,10,6,2,60,563,503,.893,3.20,0,2.6,1126,11,.550,5,111,-6.09,0,0,0,2,2023
9,10,Sergei Bobrovsky,34,FLA,50,49,24,20,3,145,1466,1321,.901,3.07,1,7.8,2834,30,.612,10,103,-4.63,0,0,0,2,2023
10,11,Laurent Brossoit,29,VEG,11,10,7,0,3,23,317,294,.927,2.17,0,2.5,636,7,.700,1,,,0,0,0,0,2023
11,12,Jack Campbell,31,EDM,36,34,21,9,4,115,1027,912,.888,3.41,1,4.1,2026,12,.353,8,117,-16.66,0,1,1,2,2023
12,13,Eric Comrie,27,BUF,19,19,9,9,1,68,594,526,.886,3.67,1,2.2,1112,8,.421,5,120,-11.12,0,1,1,2,2023
13,14,Pheonix Copley,31,LAK,37,35,24,6,3,92,947,855,.903,2.64,1,5.2,2089,21,.600,8,101,-1.32,0,1,1,19,2023
14,15,Joey Daccord,26,SEA,5,4,2,1,1,13,130,117,.900,3.14,0,0.7,248,1,.250,0,,,0,0,0,0,2023
15,16,Collin Delia,28,VAN,20,18,10,6,2,62,526,464,.882,3.28,0,1.8,1136,8,.444,4,123,-11.64,0,1,1,0,2023
16,17,Aaron Dell,33,SJS,4,3,0,3,0,9,103,94,.913,2.71,0,0.7,199,2,.667,0,,,0,0,0,0,2023
17,18,Thatcher Demko,27,VAN,32,32,14,14,4,99,1005,906,.901,3.16,1,5.4,1879,14,.438,6,103,-2.77,0,1,1,4,2023
18,19,Casey DeSmith,31,PIT,38,33,15,16,4,109,1142,1033,.905,3.17,0,6.5,2066,16,.485,7,100,0.35,0,0,0,2,2023
19,20,Lukáš Dostál,22,ANA,19,17,4,10,3,67,679,612,.901,3.78,0,3.6,1063,12,.706,1,103,-1.99,0,0,0,0,2023
20,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2023
21,21,Brian Elliott,37,TBL,22,22,12,8,2,75,689,614,.891,3.40,2,3.0,1325,9,.409,5,114,-9.03,0,1,1,0,2023
22,22,Olle Eriksson Ek,23,ANA,1,1,0,0,1,5,39,34,.872,4.69,0,0.1,64,0,.000,0,,,0,0,0,0,2023
23,23,Samuel Ersson,23,PHI,12,10,6,3,0,33,327,294,.899,3.07,1,1.7,645,5,.500,2,,,0,0,0,0,2023
24,24,Dylan Ferguson,24,OTT,2,2,1,1,0,5,83,78,.940,2.52,0,0.8,119,1,.500,0,,,0,0,0,0,2023
25,25,Marc-André Fleury,38,MIN,46,45,24,16,4,126,1367,1241,.908,2.85,2,8.2,2654,26,.578,8,96,4.89,0,1,1,2,2023
26,26,Anton Forsberg,30,OTT,28,25,11,11,2,80,817,737,.902,3.26,2,4.4,1472,12,.480,6,102,-1.77,0,0,0,2,2023
27,27,Pavel Francouz,32,COL,16,16,8,7,1,42,493,451,.915,2.61,1,3.3,965,9,.563,3,89,5.20,0,1,1,0,2023
28,28,Alexandar Georgiev,26,COL,62,62,40,16,6,156,1904,1748,.918,2.53,5,13.4,3700,41,.661,6,86,26.31,0,1,1,0,2023
29,29,John Gibson,29,ANA,53,52,14,31,8,200,1983,1783,.899,3.99,1,10.2,3005,25,.481,13,105,-10.13,0,2,2,12,2023
30,30,Jon Gillies,29,CBJ,3,2,1,1,0,9,66,57,.864,4.57,0,0.1,118,0,.000,0,,,0,0,0,0,2023
31,31,Jet Greaves,21,CBJ,1,1,0,1,0,3,49,46,.939,3.05,0,0.4,59,1,1.000,0,,,0,0,0,0,2023
32,32,Thomas Greiss,37,STL,21,16,7,10,0,65,626,561,.896,3.58,1,3.0,1089,6,.375,4,108,-5.06,0,0,0,0,2023
33,33,Philipp Grubauer,31,SEA,39,36,17,14,4,98,930,832,.895,2.85,0,4.4,2066,22,.611,11,110,-8.95,0,1,1,0,2023
34,34,Filip Gustavsson,24,MIN,39,37,22,9,7,81,1173,1092,.931,2.10,3,9.8,2311,27,.730,4,72,31.32,0,1,1,0,2023
35,35,Jaroslav Halák,37,NYR,25,24,10,9,5,66,680,614,.903,2.72,1,3.8,1454,15,.625,3,101,-0.89,0,1,1,0,2023
36,36,Carter Hart,24,PHI,55,54,22,23,10,155,1665,1510,.907,2.94,2,9.9,3164,24,.444,11,97,4.42,0,0,0,0,2023
37,37,Magnus Hellberg,31,TOT,18,14,5,8,1,50,447,397,.888,3.20,0,1.8,936,6,.429,2,117,-7.20,0,0,0,0,2023
40,38,Connor Hellebuyck,29,WPG,64,64,37,25,2,157,1964,1807,.920,2.49,4,14.3,3778,44,.688,6,83,31.05,0,0,0,0,2023
41,39,Adin Hill,26,VEG,27,25,16,7,1,61,721,660,.915,2.45,0,4.9,1491,16,.640,4,88,8.04,0,1,1,2,2023
42,40,Joel Hofer,22,STL,6,6,3,1,1,17,179,162,.905,3.22,0,1.0,317,3,.500,1,,,0,0,0,0,2023
44,41,Ville Husso,27,DET,56,56,26,22,7,167,1603,1436,.896,3.11,4,7.7,3220,26,.464,17,109,-13.51,0,0,0,0,2023
45,42,Michael Hutchinson,32,CBJ,16,10,2,6,3,54,432,378,.875,4.29,0,1.2,755,2,.200,2,131,-12.64,0,1,1,0,2023
46,43,Connor Ingram,25,ARI,27,26,6,13,8,89,960,871,.907,3.37,1,5.7,1587,15,.577,4,97,2.92,0,0,0,2,2023
47,44,Tristan Jarry,27,PIT,47,47,24,13,7,128,1414,1286,.909,2.90,2,8.8,2650,27,.574,5,95,7.39,0,2,2,2,2023
48,45,Jonas Johansson,27,COL,3,2,2,0,0,5,73,68,.932,2.10,0,0.6,143,1,.500,0,,,0,0,0,0,2023
49,46,Martin Jones,33,SEA,48,42,27,13,3,131,1145,1014,.886,2.99,3,4.3,2626,20,.476,14,119,-21.37,0,0,0,0,2023
50,47,Kaapo Kähkönen,26,SJS,37,37,9,20,7,135,1149,1014,.883,3.85,1,4.0,2106,14,.378,12,123,-24.98,0,0,0,0,2023
51,48,Erik Källgren,26,TOR,10,9,3,2,4,25,246,221,.898,2.67,0,1.2,562,3,.333,2,,,0,0,0,0,2023
52,49,Anton Khudobin,36,CHI,1,1,0,1,0,6,28,22,.786,6.00,0,-0.2,60,0,.000,1,,,0,0,0,0,2023
53,50,Keith Kinkaid,33,TOT,2,1,1,0,0,2,40,38,.950,1.37,0,0.4,88,1,1.000,0,,,0,0,0,0,2023
56,51,Spencer Knight,21,FLA,21,19,9,8,3,62,627,565,.901,3.18,1,3.4,1169,8,.421,3,103,-1.96,0,1,1,0,2023
57,52,Pyotr Kochetkov,23,CAR,24,23,12,7,5,57,627,570,.909,2.44,4,3.9,1404,13,.565,4,95,3.04,0,0,0,0,2023
58,53,Joonas Korpisalo,28,TOT,39,37,18,14,4,104,1206,1102,.914,2.87,1,8.0,2172,24,.649,3,90,11.47,0,0,0,0,2023
61,54,Darcy Kuemper,32,WSH,57,56,22,26,7,154,1674,1520,.908,2.87,5,10.1,3224,28,.500,7,96,6.29,0,0,0,4,2023
62,55,Kevin Lankinen,27,NSH,19,18,9,8,1,49,583,534,.916,2.75,0,4.0,1069,11,.611,3,88,6.82,0,0,0,2,2023
63,56,Devon Levi,21,BUF,7,7,5,2,0,21,222,201,.905,2.94,0,1.3,429,5,.714,1,,,0,0,0,0,2023
64,57,Charlie Lindgren,29,WSH,31,26,13,11,3,86,853,767,.899,3.05,0,4.4,1692,14,.538,4,105,-4.33,0,1,1,0,2023
65,58,Ukko-Pekka Luukkonen,23,BUF,33,32,17,11,4,115,1054,939,.891,3.61,0,4.5,1910,13,.406,7,114,-14.08,0,1,1,2,2023
66,59,Alex Lyon,30,FLA,15,14,9,4,2,43,488,445,.912,2.89,1,3.1,893,10,.714,2,92,3.73,0,0,0,0,2023
67,60,Eetu Mäkiniemi,23,SJS,2,1,1,0,1,3,32,29,.906,2.13,0,0.2,84,1,1.000,0,,,0,0,0,0,2023
69,61,Kevin Mandolese,22,OTT,3,3,1,2,0,10,119,109,.916,3.29,0,0.8,182,2,.667,0,,,0,0,0,0,2023
70,62,Jacob Markström,33,CGY,59,58,23,21,12,166,1542,1376,.892,2.92,1,6.9,3411,26,.448,14,112,-18.35,0,2,2,14,2023
71,63,Spencer Martin,27,VAN,29,27,11,15,1,107,830,723,.871,3.99,0,1.9,1610,8,.296,9,135,-27.53,0,0,0,0,2023
72,64,Leevi Merilainen,20,OTT,2,2,0,1,1,6,49,43,.878,4.23,0,0.1,85,1,.500,1,,,0,0,0,0,2023
73,65,Elvis Merzļikins,28,CBJ,30,27,7,18,2,110,889,779,.876,4.23,0,2.5,1560,8,.296,6,129,-24.88,0,1,1,4,2023
74,66,Sam Montembeault,26,MTL,40,39,16,19,3,133,1345,1212,.901,3.42,0,7.2,2334,21,.538,8,103,-4.22,0,0,0,0,2023
75,67,Petr Mrázek,30,CHI,39,38,10,22,3,132,1248,1116,.894,3.66,0,5.8,2165,19,.500,7,110,-12.50,0,2,2,4,2023
76,68,Matt Murray,28,TOR,26,26,14,8,2,74,761,687,.903,3.01,1,4.2,1473,13,.500,8,102,-1.13,0,0,0,0,2023
77,69,Matt Murray,24,DAL,3,3,1,2,0,10,64,54,.844,3.39,0,0.0,177,1,.333,1,,,0,0,0,0,2023
78,70,Alex Nedeljkovic,27,DET,15,13,5,7,2,49,466,417,.895,3.53,0,2.2,833,5,.385,2,110,-4.38,0,0,0,2,2023
79,71,Jake Oettinger,24,DAL,62,61,37,11,11,144,1776,1632,.919,2.37,5,12.7,3645,39,.639,8,85,26.05,0,1,1,2,2023
80,72,Jiří Patera,23,VEG,2,2,2,0,0,5,70,65,.929,2.50,0,0.6,120,2,1.000,0,,,0,0,0,0,2023
81,73,Calvin Petersen,28,LAK,10,9,5,3,2,34,257,223,.868,3.75,0,0.5,543,3,.333,3,,,0,0,0,0,2023
82,74,Cayden Primeau,23,MTL,3,2,0,2,0,8,54,46,.852,3.46,0,0.0,139,1,.500,1,,,0,0,0,0,2023
83,75,Ivan Prosvetov,23,ARI,7,7,4,3,0,28,234,206,.880,3.98,0,0.8,422,3,.429,2,,,0,0,0,0,2023
84,76,Jonathan Quick,37,TOT,41,36,16,15,6,127,1080,953,.882,3.41,2,3.7,2234,14,.389,10,123,-23.59,0,0,0,4,2023
87,77,Antti Raanta,33,CAR,27,26,19,3,3,58,644,586,.910,2.23,4,4.0,1561,13,.500,5,94,3.66,0,0,0,0,2023
88,78,James Reimer,34,SJS,43,41,12,21,8,147,1335,1188,.890,3.48,3,5.6,2538,18,.439,11,115,-19.17,0,0,0,2,2023
89,79,David Rittich,30,WPG,21,18,9,8,1,50,506,456,.901,2.67,0,2.7,1122,8,.444,2,103,-1.55,0,0,0,2,2023
90,80,Ilya Samsonov,25,TOR,42,40,27,10,5,96,1184,1088,.919,2.33,4,8.5,2476,27,.675,7,85,17.37,0,2,2,0,2023
92,81,Felix Sandström,26,PHI,20,18,3,12,3,69,575,506,.880,3.72,0,1.8,1113,5,.278,4,125,-13.94,0,0,0,0,2023
93,82,Juuse Saros,27,NSH,64,63,33,23,7,171,2099,1928,.919,2.69,2,14.9,3810,40,.635,9,85,29.98,0,1,1,0,2023
94,83,Akira Schmid,22,NJD,18,14,9,5,2,32,408,376,.922,2.13,1,3.0,901,9,.643,2,82,7.07,0,0,0,0,2023
95,84,Igor Shesterkin,27,NYR,58,58,37,13,8,144,1719,1575,.916,2.48,3,11.8,3489,35,.603,6,87,20.59,0,1,1,2,2023
96,85,Arturs Silovs,21,VAN,5,5,3,2,0,14,152,138,.908,2.75,0,0.9,306,4,.800,1,,,0,0,0,0,2023
97,86,Stuart Skinner,24,EDM,50,48,29,14,5,133,1536,1403,.913,2.75,1,10.1,2903,29,.604,9,90,14.07,0,2,2,0,2023
98,87,Arvid Söderblom,23,CHI,15,13,2,10,2,48,453,405,.894,3.45,0,2.1,835,6,.462,2,111,-4.63,0,0,0,0,2023
99,88,Ilya Sorokin,27,NYI,62,60,31,22,7,140,1838,1698,.924,2.34,6,14.1,3587,42,.700,8,80,35.99,0,1,1,0,2023
100,89,Alex Stalock,35,CHI,27,24,9,15,2,74,804,730,.908,3.01,2,4.9,1475,13,.542,2,96,2.98,0,0,0,16,2023
101,90,Jaxson Stauber,23,CHI,6,6,5,1,0,17,191,174,.911,2.81,0,1.2,364,4,.667,0,,,0,0,0,0,2023
102,91,Anthony Stolarz,29,ANA,19,12,5,6,0,51,494,443,.897,3.73,0,2.4,820,3,.250,2,108,-3.70,0,0,0,0,2023
103,92,Jeremy Swayman,24,BOS,37,33,24,6,4,76,953,877,.920,2.27,4,6.9,2013,21,.636,4,83,15.25,0,0,0,2,2023
104,93,Mads Søgaard,22,OTT,19,17,8,6,3,58,524,466,.889,3.32,0,2.2,1048,8,.471,4,116,-7.83,0,1,1,0,2023
105,94,Cam Talbot,35,OTT,36,32,17,14,2,95,935,840,.898,2.93,1,4.7,1947,21,.656,9,106,-5.47,0,0,0,0,2023
106,95,Daniil Tarasov,23,CBJ,17,16,4,11,1,57,528,471,.892,3.91,0,2.3,874,6,.375,5,113,-6.44,0,1,1,0,2023
107,96,Logan Thompson,25,VEG,37,36,21,13,3,96,1132,1036,.915,2.65,2,7.7,2171,20,.556,1,89,12.39,0,0,0,2,2023
108,97,Dustin Tokarski,33,PIT,4,2,1,2,0,12,117,105,.897,3.44,0,0.6,209,1,.500,0,,,0,0,0,0,2023
109,98,Linus Ullmark,29,BOS,49,48,40,6,1,91,1457,1366,.938,1.89,2,13.2,2882,43,.896,1,65,48.51,1,0,1,2,2023
110,99,Vítek Vaněček,27,NJD,52,48,33,11,4,119,1333,1214,.911,2.45,3,8.4,2916,32,.667,9,93,8.64,0,3,3,2,2023
111,100,Semyon Varlamov,34,NYI,23,22,11,9,2,60,689,629,.913,2.70,2,4.5,1335,14,.636,4,91,5.97,0,0,0,0,2023
113,101,Andrei Vasilevskiy,28,TBL,60,60,34,22,4,159,1875,1716,.915,2.65,4,12.7,3596,35,.583,11,89,20.53,0,2,2,0,2023
114,102,Karel Vejmelka,26,ARI,50,49,18,24,6,168,1670,1502,.899,3.43,3,8.6,2941,22,.449,7,105,-8.10,0,0,0,2,2023
115,103,Daniel Vladař,25,CGY,27,23,14,6,5,71,667,596,.894,2.87,0,3.1,1484,10,.435,4,111,-7.13,0,0,0,2,2023
116,104,Scott Wedgewood,30,DAL,21,18,9,8,3,51,603,552,.915,2.72,1,4.1,1127,13,.722,1,88,6.74,0,0,0,0,2023
117,105,Dylan Wells,25,CHI,1,0,0,0,0,1,13,12,.923,3.00,0,0.1,20,0,,0,,,0,0,0,0,2023
118,106,Dustin Wolf,21,CGY,1,1,1,0,0,1,24,23,.958,1.00,0,0.3,60,1,1.000,0,,,0,0,0,0,2023
119,107,Joseph Woll,24,TOR,7,7,6,1,0,15,219,204,.932,2.16,0,1.8,416,6,.857,0,,,0,0,0,0,2023
0,1,Jake Allen,31,MTL,35,35,9,20,4,107,1123,1016,.905,3.30,2,6.0,1948,18,.514,8,102,-2.55,0,0,0,2,2022
1,2,Hugo Alnefelt,20,TBL,1,0,0,0,0,3,10,7,.700,9.00,0,-0.2,20,0,,0,,,0,0,0,0,2022
2,3,Frederik Andersen,32,CAR,52,51,35,14,3,111,1431,1320,.922,2.17,4,10.2,3071,30,.588,5,83,22.09,0,4,4,0,2022
3,4,Craig Anderson,40,BUF,31,31,17,12,2,97,945,848,.897,3.12,0,4.3,1867,14,.452,7,110,-9.11,0,1,1,0,2022
4,5,Justus Annunen,21,COL,2,1,1,0,1,7,51,44,.863,4.34,0,0.1,97,0,.000,1,,,0,1,1,0,2022
5,6,Jonathan Bernier,33,NJD,10,8,4,4,1,26,264,238,.902,3.06,0,1.3,510,3,.375,1,,,0,0,0,0,2022
6,7,Jean-François Bérubé,30,CBJ,6,6,3,2,0,21,209,188,.900,4.12,0,1.0,306,4,.667,2,,,0,1,1,0,2022
7,8,Jordan Binnington,28,STL,37,37,18,14,4,112,1135,1023,.901,3.13,2,5.6,2145,16,.432,7,106,-6.44,0,0,0,14,2022
8,9,Mackenzie Blackwood,25,NJD,25,24,9,10,4,79,731,652,.892,3.39,2,2.9,1399,9,.375,2,116,-11.01,0,0,0,0,2022
9,10,Sergei Bobrovsky,33,FLA,54,53,39,7,3,137,1566,1429,.913,2.67,3,9.6,3082,33,.623,6,94,8.65,0,0,0,4,2022
10,11,Laurent Brossoit,28,VEG,24,21,10,9,3,62,588,526,.895,2.90,1,2.5,1281,10,.476,4,113,-7.31,0,0,0,0,2022
11,12,Jack Campbell,30,TOR,49,47,31,9,6,123,1430,1307,.914,2.64,5,8.9,2795,28,.596,10,92,10.00,0,1,1,0,2022
12,13,Eric Comrie,26,WPG,19,16,10,5,1,44,550,506,.920,2.58,1,3.8,1025,10,.625,1,86,7.15,0,1,1,0,2022
13,14,Pheonix Copley,30,WSH,2,1,0,1,0,5,41,36,.878,3.11,0,0.1,97,0,.000,1,,,0,0,0,0,2022
14,15,Joey Daccord,25,SEA,5,4,0,4,0,21,140,119,.850,4.30,0,0.0,293,0,.000,3,,,0,0,0,0,2022
15,16,Nico Daws,21,NJD,25,23,10,11,1,66,617,551,.893,3.11,0,2.5,1272,7,.304,7,115,-8.62,0,0,0,0,2022
16,17,Collin Delia,27,CHI,8,6,1,4,1,22,218,196,.899,3.85,0,1.0,343,3,.500,1,,,0,0,0,0,2022
17,18,Aaron Dell,32,BUF,12,9,1,8,1,38,354,316,.893,4.03,0,1.4,565,2,.222,2,115,-5.08,0,0,0,2,2022
18,19,Thatcher Demko,26,VAN,64,61,33,22,7,168,1967,1799,.915,2.72,1,12.4,3701,35,.574,7,92,14.94,0,2,2,2,2022
19,20,Casey DeSmith,30,PIT,26,24,11,6,5,66,769,703,.914,2.79,3,4.8,1418,12,.500,4,92,5.52,0,0,0,0,2022
20,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2022
21,21,Michael Dipietro,22,VAN,1,1,0,1,0,3,17,14,.824,3.14,0,-0.1,57,0,.000,1,,,0,0,0,0,2022
22,22,Louis Domingue,29,PIT,2,2,1,1,0,4,83,79,.952,2.02,0,0.8,119,2,1.000,0,,,0,0,0,0,2022
23,23,Lukáš Dostál,21,ANA,4,3,1,2,0,10,108,98,.907,2.98,0,0.6,201,2,.667,1,,,0,0,0,0,2022
24,24,Chris Driedger,27,SEA,27,24,9,14,1,73,722,649,.899,2.96,1,3.4,1478,9,.375,3,109,-5.85,0,0,0,4,2022
25,25,Brian Elliott,36,TBL,19,17,11,4,3,43,489,446,.912,2.43,1,3.0,1063,7,.412,2,95,2.48,0,0,0,0,2022
26,26,Marc-André Fleury,37,TOT,56,56,28,23,5,159,1732,1573,.908,2.90,4,9.8,3285,28,.500,15,99,2.09,0,2,2,2,2022
29,27,Anton Forsberg,29,OTT,46,44,22,17,4,121,1457,1336,.917,2.82,1,9.6,2571,29,.659,5,89,14.51,0,0,0,2,2022
30,28,Pavel Francouz,31,COL,21,18,15,5,1,51,608,557,.916,2.55,2,3.9,1200,6,.333,1,90,5.55,0,0,0,0,2022
31,29,Zachary Fucale,26,WSH,4,3,1,1,1,5,66,61,.924,1.75,1,0.5,172,2,.667,1,,,0,0,0,0,2022
32,30,Alexandar Georgiev,25,NYR,33,28,15,10,2,85,832,747,.898,2.92,2,3.8,1746,13,.464,9,110,-7.62,0,0,0,0,2022
33,31,John Gibson,28,ANA,56,56,18,26,11,172,1789,1617,.904,3.19,1,9.3,3236,28,.500,11,103,-5.61,0,1,1,12,2022
34,32,Jon Gillies,28,TOT,20,15,3,10,2,62,550,488,.887,3.70,0,1.9,1005,6,.400,3,121,-10.85,0,1,1,0,2022
37,33,Thomas Greiss,36,DET,31,28,10,15,1,92,842,750,.891,3.66,0,3.3,1508,14,.500,7,117,-13.69,0,1,1,2,2022
38,34,Philipp Grubauer,30,SEA,55,54,18,31,5,164,1479,1315,.889,3.16,2,5.5,3111,18,.333,10,119,-26.44,0,1,1,0,2022
39,35,Filip Gustavsson,23,OTT,18,16,5,12,1,62,574,512,.892,3.55,0,2.3,1048,7,.438,5,116,-8.61,0,0,0,0,2022
40,36,Jaroslav Halák,36,VAN,17,14,4,7,2,39,400,361,.903,2.94,0,2.0,797,8,.571,2,105,-1.80,0,0,0,2,2022
41,37,Andrew Hammond,33,TOT,11,10,4,5,1,38,314,276,.879,3.89,0,0.8,586,4,.400,4,,,0,0,0,0,2022
44,38,Carter Hart,23,PHI,45,44,13,24,7,137,1441,1304,.905,3.16,1,7.7,2603,21,.477,6,102,-2.98,0,1,1,0,2022
45,39,Magnus Hellberg,30,DET,1,1,1,0,0,3,23,20,.870,3.00,0,0.0,60,0,.000,0,,,0,0,0,0,2022
46,40,Connor Hellebuyck,28,WPG,66,66,29,27,10,193,2155,1962,.910,2.97,4,12.7,3904,39,.591,10,96,7.43,0,2,2,0,2022
48,41,Adin Hill,25,SJS,25,22,10,11,1,61,648,587,.906,2.66,2,3.5,1376,12,.545,4,101,-0.73,0,2,2,0,2022
49,42,Thomas Hodges,28,ANA,1,0,0,1,0,1,3,2,.667,3.11,0,-0.1,19,0,,0,,,0,0,0,0,2022
50,43,Joel Hofer,21,STL,2,2,1,1,0,6,50,44,.880,3.07,0,0.1,117,0,.000,0,,,0,1,1,0,2022
51,44,Braden Holtby,32,DAL,24,22,10,10,1,61,700,639,.913,2.78,0,4.3,1318,13,.591,3,94,4.10,0,0,0,2,2022
52,45,Michael Houser,29,BUF,2,2,2,0,0,4,77,73,.948,2.00,0,0.7,120,2,1.000,0,,,0,0,0,0,2022
53,46,Adam Huska,24,NYR,1,1,0,1,0,7,39,32,.821,7.04,0,-0.1,60,0,.000,1,,,0,0,0,0,2022
54,47,Ville Husso,26,STL,40,38,25,7,6,100,1236,1136,.919,2.56,2,8.4,2341,23,.605,3,87,14.96,0,0,0,0,2022
55,48,Michael Hutchinson,31,TOR,2,1,0,1,0,6,42,36,.857,4.57,0,0.0,79,0,.000,0,,,0,0,0,0,2022
56,49,Carter Hutton,36,ARI,3,3,0,2,0,15,58,43,.741,7.76,0,-0.7,116,1,.333,2,,,0,0,0,0,2022
57,50,Connor Ingram,24,NSH,3,3,1,2,0,11,91,80,.879,3.71,0,0.2,178,1,.333,1,,,0,0,0,0,2022
58,51,Tristan Jarry,26,PIT,58,56,34,18,6,138,1711,1573,.919,2.42,4,11.6,3415,35,.625,6,87,21.13,0,2,2,2,2022
59,52,Jonas Johansson,26,TOT,11,8,3,4,1,39,264,225,.852,4.81,0,0.0,486,3,.375,4,,,0,0,0,0,2022
62,53,Martin Jones,32,PHI,35,33,12,18,3,114,1141,1027,.900,3.42,0,5.5,1997,15,.455,3,107,-7.88,0,0,0,0,2022
63,54,Kaapo Kähkönen,25,TOT,36,33,14,14,4,93,1056,963,.912,2.87,0,6.4,1947,22,.667,6,95,5.21,0,1,1,2,2022
66,55,Erik Källgren,25,TOR,14,12,8,4,1,43,385,342,.888,3.31,1,1.4,779,5,.417,3,120,-7.19,0,0,0,2,2022
67,56,Anton Khudobin,35,DAL,9,7,3,4,1,28,231,203,.879,3.63,0,0.6,462,3,.429,1,,,0,0,0,0,2022
68,57,Keith Kinkaid,32,NYR,1,1,1,0,0,2,31,29,.935,2.00,0,0.3,60,1,1.000,0,,,0,0,0,0,2022
69,58,Spencer Knight,20,FLA,32,27,19,9,3,81,876,795,.908,2.79,2,4.9,1740,14,.519,6,99,0.47,0,0,0,0,2022
70,59,Pyotr Kochetkov,22,CAR,3,2,3,0,0,6,61,55,.902,2.42,0,0.3,149,2,1.000,0,,,0,0,0,0,2022
71,60,Josef Kořenář,24,ARI,2,0,0,0,0,3,35,32,.914,2.56,0,0.2,70,0,,0,,,0,0,0,0,2022
73,61,Joonas Korpisalo,27,CBJ,22,17,7,11,0,78,634,556,.877,4.15,0,1.6,1128,5,.294,6,132,-19.03,0,0,0,2,2022
74,62,Mikko Koskinen,33,EDM,45,43,27,12,4,136,1397,1261,.903,3.10,1,7.1,2629,19,.442,7,105,-6.07,0,0,0,4,2022
75,63,Darcy Kuemper,31,COL,57,57,37,12,4,138,1754,1616,.921,2.54,5,12.3,3259,32,.561,7,85,25.13,0,0,0,2,2022
76,64,Jack LaFontaine,24,CAR,2,1,0,1,0,9,41,32,.780,7.20,0,-0.3,75,0,.000,1,,,0,0,0,0,2022
77,65,Maxime Lagace,29,TBL,2,2,1,1,0,10,58,48,.828,6.11,0,-0.1,98,0,.000,1,,,0,0,0,0,2022
78,66,Kevin Lankinen,26,CHI,32,29,8,15,6,106,973,867,.891,3.50,0,3.8,1816,12,.414,6,117,-15.51,0,1,1,0,2022
79,67,Robin Lehner,30,VEG,44,44,23,17,2,120,1288,1168,.907,2.83,1,7.1,2547,20,.455,7,100,-0.21,0,1,1,10,2022
80,68,Charlie Lindgren,28,STL,5,4,5,0,0,5,118,113,.958,1.22,0,1.3,246,4,1.000,0,,,0,0,0,0,2022
81,69,Ukko-Pekka Luukkonen,22,BUF,9,9,2,5,2,23,277,254,.917,2.74,0,1.8,503,5,.556,1,,,0,0,0,0,2022
82,70,Alex Lyon,29,CAR,2,2,1,0,1,6,65,59,.908,2.93,0,0.4,123,1,.500,0,,,0,0,0,0,2022
83,71,Jacob Markström,32,CGY,63,63,37,15,9,137,1754,1617,.922,2.22,9,12.4,3696,38,.603,6,84,26.13,0,3,3,10,2022
84,72,Spencer Martin,26,VAN,6,6,3,0,3,11,218,207,.950,1.74,0,2.2,378,6,1.000,0,,,0,0,0,0,2022
85,73,Michael McNiven,24,MTL,1,0,0,0,0,3,7,4,.571,9.00,0,-0.2,20,0,,0,,,0,0,0,0,2022
86,74,Elvis Merzļikins,27,CBJ,59,56,27,23,7,178,1920,1742,.907,3.22,2,10.7,3320,27,.482,5,100,0.57,0,2,2,8,2022
87,75,Sam Montembeault,25,MTL,38,30,8,18,6,122,1124,1002,.891,3.77,1,4.4,1943,11,.367,7,117,-17.46,0,0,0,0,2022
88,76,Petr Mrázek,29,TOR,20,18,12,6,0,58,520,462,.888,3.34,0,1.9,1042,6,.333,4,120,-9.64,0,0,0,0,2022
89,77,Matt Murray,27,OTT,20,20,5,12,2,60,640,580,.906,3.05,1,3.5,1182,12,.600,3,101,-0.48,0,0,0,0,2022
